# .test .cputime .temperature .time_mat1 .time_mat2
483 0.485194  9.253 0.007237 0.012390
484 0.482840  9.253 0.007174 0.012548
485 0.489988  9.253 0.007585 0.012624
486 0.488309  9.253 0.007283 0.012595
487 0.487892  8.766 0.007327 0.012705
488 0.489635  8.766 0.007348 0.012681
489 0.487710 10.714 0.007399 0.012694
490 0.492870  9.253 0.007531 0.012863
491 0.492571 10.227 0.007461 0.012864
492 0.492564  8.766 0.007374 0.012949
493 0.502541  9.740 0.007493 0.012982
494 0.492263  9.740 0.007432 0.013068
495 0.493649  9.740 0.007578 0.013106
496 0.506141  9.740 0.007561 0.013128
497 0.498145  9.253 0.007651 0.013117
498 0.499122 10.714 0.007583 0.013153
499 0.501203  9.740 0.007698 0.013341
500 0.503308  9.253 0.007672 0.013330
